ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction
ALAB,2026-03-20 16:20:54.619557+00:00,PUT,100.0,2026-05-15,20735,29,36,1944,119.55,REPEATEDHITS,False,False,715,15730,56,BID,
ALAB,2026-03-20 16:13:10.062041+00:00,CALL,113.0,2026-03-27,37515,41,99,3,119.6099,REPEATEDHITS,True,False,5490,32025,7,BID,
ALAB,2026-03-20 16:09:03.821160+00:00,CALL,120.0,2026-06-18,13895,7,88,185,119.34,REPEATEDHITS,False,False,13895,0,90,ASK,LONG
ALAB,2026-03-20 15:58:37.694661+00:00,CALL,130.0,2026-04-02,15000,50,122,140,119.18,REPEATEDHITS,False,False,6900,8100,13,BID,
ALAB,2026-03-20 15:53:27.898123+00:00,PUT,100.0,2026-04-17,157605,485,509,706,118.975,REPEATEDHITSDESCENDINGFILL,False,False,157605,0,28,ASK,SHORT
ALAB,2026-03-20 15:44:11.636052+00:00,CALL,123.0,2026-03-27,22370,63,79,55,119.61,REPEATEDHITS,False,False,2490,19880,7,BID,
ALAB,2026-03-20 15:40:53.207870+00:00,PUT,105.0,2026-03-27,11500,100,129,1015,119.45,REPEATEDHITS,False,False,11500,0,7,ASK,SHORT
ALAB,2026-03-20 15:39:03.859255+00:00,CALL,120.0,2026-03-27,11220,22,35,155,120.0399,REPEATEDHITS,False,False,0,11220,7,BID,
ALAB,2026-03-20 15:11:16.933171+00:00,PUT,100.0,2026-06-18,16660,17,25,154,120.28,REPEATEDHITS,False,False,0,16660,90,BID,
ALAB,2026-03-20 15:08:25.500948+00:00,PUT,120.0,2026-06-18,24960,13,13,364,119.75,REPEATEDHITS,False,False,24960,0,90,ASK,SHORT
ALAB,2026-03-20 15:07:21.828264+00:00,CALL,113.0,2026-03-27,47760,48,48,3,120.2,REPEATEDHITS,False,False,995,46765,7,BID,
ALAB,2026-03-20 15:06:27.541421+00:00,CALL,127.0,2026-03-27,19635,77,83,39,120.435,REPEATEDHITS,False,False,19635,0,7,ASK,LONG
ALAB,2026-03-20 14:56:40.225089+00:00,CALL,114.0,2026-03-27,23500,25,26,4,120.485,REPEATEDHITS,False,False,0,23500,7,BID,
ALAB,2026-03-20 14:53:36.404793+00:00,PUT,130.0,2026-03-27,19545,17,41,347,120.25,REPEATEDHITS,False,False,19545,0,7,ASK,SHORT
ALAB,2026-03-20 14:29:17.827278+00:00,PUT,119.0,2026-03-20,14600,298,342,78,120.905,REPEATEDHITSDESCENDINGFILL,False,False,14504,96,0,ASK,SHORT
ALAB,2026-03-19 17:18:02.345615+00:00,CALL,130.0,2026-04-02,23250,50,98,98,122.45,REPEATEDHITS,False,False,4650,18600,14,BID,
ALAB,2026-03-19 14:59:32.960792+00:00,CALL,110.0,2026-06-18,118580,44,44,30,121.994,REPEATEDHITS,True,False,2695,115885,91,BID,
ALAB,2026-03-19 14:40:58.624022+00:00,CALL,130.0,2026-04-02,17100,38,41,98,121.71,REPEATEDHITS,False,False,6750,7200,14,BID,
ALAB,2026-03-19 14:28:22.799634+00:00,CALL,129.0,2026-03-27,41400,120,142,491,122.495,REPEATEDHITS,False,False,41400,0,8,ASK,LONG
ALAB,2026-03-19 14:09:34.825579+00:00,PUT,100.0,2026-05-15,34471,50,50,1961,123.156,REPEATEDHITSASCENDINGFILL,False,False,0,34471,57,BID,
ALAB,2026-03-19 13:30:08.824095+00:00,PUT,135.0,2026-12-18,19975,5,5,302,122.11,REPEATEDHITS,False,False,0,19975,274,BID,
ALAB,2026-03-18 19:06:32.927868+00:00,PUT,110.0,2026-04-10,25920,72,77,40,126.46,REPEATEDHITS,False,False,25920,0,23,ASK,SHORT
ALAB,2026-03-18 16:52:09.168799+00:00,CALL,350.0,2027-01-15,12412,20,25,1480,125.7718,REPEATEDHITSDESCENDINGFILL,False,False,0,12412,303,BID,
ALAB,2026-03-18 16:38:06.481562+00:00,PUT,105.0,2026-04-17,261114,768,777,240,126.0,REPEATEDHITS,False,False,261114,0,30,ASK,SHORT
ALAB,2026-03-18 15:20:35.202040+00:00,CALL,140.0,2026-05-15,41280,32,39,301,127.4,REPEATEDHITS,False,False,20640,20640,58,MIXED,
