ticker,event_ts,option_type,strike,expiration_date,premium,contracts,volume,open_interest,underlying_price,alert_rule,is_sweep,is_floor,ask_side_premium,bid_side_premium,dte,execution_side,direction,direction_confidence
SOXS,2026-03-20 16:50:51.673499+00:00,CALL,65.0,2026-08-21,75650,89,93,303,40.285,REPEATEDHITS,False,False,0,67150,154,BID,SHORT,0.5
SOXS,2026-03-20 16:04:31.242084+00:00,CALL,40.0,2026-05-15,14441,19,540,67,39.5199,REPEATEDHITS,True,False,0,14441,56,BID,SHORT,0.5
SOXS,2026-03-20 15:37:20.343916+00:00,CALL,40.0,2026-05-15,340270,428,521,67,39.895,REPEATEDHITSDESCENDINGFILL,True,False,29415,310855,56,BID,SHORT,0.5
SOXS,2026-03-20 15:01:29.043052+00:00,CALL,50.0,2026-04-17,12600,40,41,70,39.83,REPEATEDHITS,False,False,0,630,28,BID,SHORT,0.5
SOXS,2026-03-20 14:34:27.824703+00:00,CALL,47.0,2026-08-21,36750,30,30,208,39.895,REPEATEDHITS,False,False,36750,0,154,ASK,LONG,1.0
SOXS,2026-03-20 14:25:46.882375+00:00,CALL,37.5,2026-03-27,14700,35,35,73,40.3,REPEATEDHITS,False,False,1680,13020,7,BID,SHORT,0.5
SOXS,2026-03-20 14:13:28.628833+00:00,CALL,55.0,2026-05-15,11620,25,25,28,39.84,REPEATEDHITSASCENDINGFILL,True,False,11620,0,56,ASK,LONG,1.0
SOXS,2026-03-20 14:13:04.585033+00:00,CALL,39.0,2026-04-17,35065,61,62,104,39.73,REPEATEDHITS,True,False,35065,0,28,ASK,LONG,1.0
SOXS,2026-03-20 14:08:56.933943+00:00,CALL,40.0,2026-03-20,31293,549,964,1110,39.66,REPEATEDHITS,True,False,31293,0,0,ASK,LONG,1.0
SPXS,2026-03-25 15:32:58.888470+00:00,PUT,39.5,2026-04-10,155629,668,1243,604,39.2499,REPEATEDHITSASCENDINGFILL,True,False,3275,152354,16,BID,LONG,0.5
SPXS,2026-03-25 14:23:05.693082+00:00,CALL,40.0,2026-04-10,11786,63,238,530,39.18,REPEATEDHITSASCENDINGFILL,True,False,379,11407,16,BID,SHORT,0.5
SPXS,2026-03-25 14:13:07.154482+00:00,CALL,40.0,2026-04-10,13200,67,175,530,39.315,REPEATEDHITS,True,False,0,13200,16,BID,SHORT,0.5
SPXS,2026-03-25 14:12:33.101259+00:00,CALL,40.0,2026-04-10,19415,98,108,530,39.38,REPEATEDHITSASCENDINGFILL,True,False,203,19212,16,BID,SHORT,0.5
SPXS,2026-03-25 13:35:57.852637+00:00,CALL,39.0,2026-04-02,11040,69,69,818,38.9,REPEATEDHITS,True,False,0,11040,8,BID,SHORT,0.5
SPXS,2026-03-24 18:00:41.166142+00:00,CALL,36.0,2026-04-17,114660,252,260,620,39.87,REPEATEDHITS,False,False,0,114660,24,BID,SHORT,0.5
SPXS,2026-03-24 16:38:32.857305+00:00,CALL,48.0,2026-04-17,27839,221,296,189,39.92,REPEATEDHITS,False,False,27720,119,24,ASK,LONG,1.0
SPXS,2026-03-24 14:07:34.695766+00:00,CALL,39.0,2026-03-27,32580,181,185,369,40.1506,REPEATEDHITS,True,False,0,32580,3,BID,SHORT,0.5
SPXS,2026-03-24 14:07:14.668908+00:00,CALL,37.5,2026-04-17,88970,217,217,0,40.24,REPEATEDHITS,False,False,0,88970,24,BID,SHORT,0.5
SPXS,2026-03-24 13:33:53.174016+00:00,CALL,41.0,2026-04-10,74844,324,342,485,40.33,REPEATEDHITS,False,False,0,74844,17,BID,SHORT,0.5
SPXS,2026-03-23 19:57:09.981882+00:00,CALL,38.0,2026-04-10,92667,281,304,22,40.09,REPEATEDHITS,False,False,92667,0,18,ASK,LONG,1.0
SPXS,2026-03-23 19:53:19.127165+00:00,CALL,37.5,2026-04-10,48280,142,142,21,39.8316,REPEATEDHITS,False,False,48280,0,18,ASK,LONG,1.0
SPXS,2026-03-23 18:35:20.851197+00:00,CALL,40.0,2026-04-02,12320,80,241,416,39.36,REPEATEDHITS,False,False,0,12320,10,BID,SHORT,0.5
SPXS,2026-03-23 17:58:37.132436+00:00,CALL,41.0,2026-04-10,12422,69,381,31,39.63,REPEATEDHITS,True,False,182,12240,18,BID,SHORT,0.5
SPXS,2026-03-23 17:35:03.487024+00:00,CALL,40.0,2026-04-10,93330,430,448,99,39.775,REPEATEDHITSASCENDINGFILL,True,False,452,92878,18,BID,SHORT,0.5
SPXS,2026-03-23 17:20:57.024454+00:00,CALL,48.0,2026-04-17,24252,188,188,0,40.29,REPEATEDHITS,True,False,24252,0,25,ASK,LONG,1.0
SPXS,2026-03-23 16:35:10.804824+00:00,CALL,39.0,2026-04-02,50718,214,277,443,40.03,REPEATEDHITS,True,False,0,50718,10,BID,SHORT,0.5
SPXS,2026-03-23 16:16:01.739077+00:00,PUT,37.0,2026-04-17,10586,84,86,412,39.8401,REPEATEDHITS,True,False,128,10458,25,BID,LONG,0.5
SPXS,2026-03-23 15:56:17.929055+00:00,CALL,38.5,2026-03-27,22755,123,139,632,39.76,REPEATEDHITS,True,False,22755,0,4,ASK,LONG,1.0
SPXS,2026-03-23 15:39:12.780764+00:00,CALL,37.0,2026-04-10,98340,298,308,62,39.37,REPEATEDHITS,False,False,98340,0,18,ASK,LONG,1.0
SPXS,2026-03-23 14:22:13.223197+00:00,CALL,40.0,2026-03-27,26208,336,591,565,38.905,REPEATEDHITS,False,False,0,26208,4,BID,SHORT,0.5
SPXS,2026-03-23 14:20:26.010098+00:00,PUT,40.0,2026-03-27,24252,120,121,171,39.02,REPEATEDHITSDESCENDINGFILL,True,False,16530,7722,4,ASK,SHORT,1.0
SPXS,2026-03-20 19:35:44.581188+00:00,PUT,41.5,2026-03-27,25844,152,206,0,41.895,REPEATEDHITS,True,False,0,25844,7,BID,LONG,0.5
SPXS,2026-03-20 19:04:27.243968+00:00,PUT,41.0,2026-03-27,67782,429,524,392,41.465,REPEATEDHITS,True,False,0,67782,7,BID,LONG,0.5
SPXS,2026-03-20 18:10:34.929114+00:00,CALL,37.5,2026-04-02,67167,168,295,54,41.07,REPEATEDHITS,True,False,67167,0,13,ASK,LONG,1.0
SPXS,2026-03-20 18:02:47.792977+00:00,CALL,37.5,2026-04-02,39764,102,104,54,40.9364,REPEATEDHITS,True,False,39764,0,13,ASK,LONG,1.0
SPXS,2026-03-20 17:36:33.419009+00:00,CALL,36.0,2026-04-02,17850,35,43,422,40.97,REPEATEDHITS,True,False,17850,0,13,ASK,LONG,1.0
SPXS,2026-03-20 17:33:43.145011+00:00,CALL,39.0,2026-03-27,11750,47,120,563,40.87,REPEATEDHITS,False,False,11750,0,7,ASK,LONG,1.0
SPXS,2026-03-20 14:54:11.648829+00:00,CALL,37.0,2026-04-02,166740,397,436,519,40.83,REPEATEDHITS,False,False,166740,0,13,ASK,LONG,1.0
SPXS,2026-03-20 14:53:05.569759+00:00,CALL,39.5,2026-03-27,13260,60,229,38,40.835,REPEATEDHITS,True,False,13260,0,7,ASK,LONG,1.0
SPXS,2026-03-20 14:51:29.829615+00:00,PUT,43.0,2026-03-27,18810,57,63,0,40.775,REPEATEDHITS,True,False,0,18810,7,BID,LONG,0.5
SPXS,2026-03-20 14:01:55.097083+00:00,CALL,50.0,2026-04-17,21376,167,167,433,40.7,REPEATEDHITS,True,False,21376,0,28,ASK,LONG,1.0
SPXS,2026-03-20 14:01:43.673688+00:00,CALL,38.0,2026-03-27,74714,245,419,179,40.6301,REPEATEDHITSDESCENDINGFILL,False,False,74714,0,7,ASK,LONG,1.0
SPXS,2026-03-20 14:00:35.534556+00:00,CALL,37.5,2026-03-27,32640,96,132,587,40.63,REPEATEDHITS,True,False,31620,1020,7,ASK,LONG,1.0
SPXS,2026-03-20 14:00:32.523930+00:00,CALL,37.5,2026-03-27,11220,33,36,587,40.61,REPEATEDHITS,False,False,11220,0,7,ASK,LONG,1.0
SPXS,2026-03-20 13:58:41.300134+00:00,CALL,38.0,2026-03-27,43216,148,174,179,40.53,REPEATEDHITS,True,False,43216,0,7,ASK,LONG,1.0
SPXS,2026-03-20 13:55:48.782905+00:00,PUT,40.0,2026-03-27,18040,127,153,11,40.425,REPEATEDHITSASCENDINGFILL,False,False,147,17893,7,BID,LONG,0.5
SPXS,2026-03-20 13:50:59.056620+00:00,CALL,38.5,2026-03-27,69372,282,283,661,40.325,REPEATEDHITS,True,False,69372,0,7,ASK,LONG,1.0
SPXS,2026-03-20 13:33:20.841227+00:00,CALL,37.0,2026-04-02,11315,31,32,519,40.185,REPEATEDHITS,False,False,11315,0,13,ASK,LONG,1.0
SPXS,2026-03-19 15:45:20.445821+00:00,CALL,36.5,2026-04-02,198785,479,484,26,40.26,REPEATEDHITS,True,False,198785,0,14,ASK,LONG,1.0
SPXS,2026-03-19 14:26:11.684981+00:00,CALL,38.0,2026-04-02,64960,203,210,146,40.24,REPEATEDHITS,True,False,64960,0,14,ASK,LONG,1.0
SPXS,2026-03-18 19:45:59.312320+00:00,CALL,41.5,2026-03-27,46865,455,455,2,39.275,REPEATEDHITS,True,False,46865,0,9,ASK,LONG,1.0
SPXS,2026-03-18 18:12:59.405268+00:00,CALL,35.0,2026-04-17,16800,40,40,816,38.48,REPEATEDHITS,False,False,16800,0,30,ASK,LONG,1.0
SPXS,2026-03-18 17:02:17.936266+00:00,CALL,35.0,2026-04-02,13090,34,120,311,38.61,REPEATEDHITS,False,False,13090,0,15,ASK,LONG,1.0
SPXS,2026-03-18 17:02:17.936266+00:00,CALL,36.0,2026-04-02,24255,77,156,265,38.61,REPEATEDHITS,False,False,24255,0,15,ASK,LONG,1.0
SQQQ,2026-03-25 15:16:28.706507+00:00,CALL,80.0,2026-03-27,28405,299,1436,3733,76.98,REPEATEDHITS,True,False,28405,0,2,ASK,LONG,1.0
SQQQ,2026-03-25 15:10:01.465043+00:00,CALL,75.0,2026-03-27,287260,1060,2328,1647,76.54,REPEATEDHITS,True,False,287260,0,2,ASK,LONG,1.0
SQQQ,2026-03-25 14:36:38.824117+00:00,CALL,81.0,2026-04-02,282632,1372,1478,514,75.89,REPEATEDHITS,False,False,0,282426,8,BID,SHORT,0.5
SQQQ,2026-03-25 14:13:09.359325+00:00,CALL,85.0,2026-04-17,17150,49,332,1436,76.2801,REPEATEDHITS,True,False,350,16800,23,BID,SHORT,0.5
SQQQ,2026-03-25 14:06:38.735467+00:00,CALL,77.0,2026-03-27,158415,895,1270,2317,76.48,REPEATEDHITS,False,False,177,158238,2,BID,SHORT,0.5
SQQQ,2026-03-25 14:06:28.315618+00:00,CALL,78.0,2026-04-02,12160,38,51,944,76.57,REPEATEDHITS,True,False,0,12160,8,BID,SHORT,0.5
