ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,iv_rank,iv_current,flow_velocity,repeat_flow_count,dte_score,flow_imbalance_ratio,bullish_flow_intensity,bearish_flow_intensity,bullish_premium_per_trade,bearish_premium_per_trade,bullish_vol_oi,bearish_vol_oi,bullish_sweep_count,bearish_sweep_count,bullish_breadth,bearish_breadth
PYPL,SHORT,0.5293425760628553,5.293425760628553,0,3.1761,error: No OHLCV data returned for ticker=PYPL,none,none,,,unknown,,,,,,,,,,,,,,,2.813774995776108,6.0,1.0,0.48173640240619187,0.0,0.0,58548.343915615544,60768.02959375342,73.241613,27.622897,1.0,2.0,0.01704,0.671957
LITE,SHORT,0.5286497772101015,5.286497772101015,0,3.1719,error: No OHLCV data returned for ticker=LITE,none,none,,,unknown,,,,,,,,,,,,,,,26.90277089480269,10.0,1.0,0.06780549633310351,0.0,0.0,6526.237128719673,144374.07323129085,0.572372,5.339286,1.0,1.0,0.777933,0.231639
GEV,SHORT,0.5214454603217166,5.214454603217166,0,3.1287,error: No OHLCV data returned for ticker=GEV,none,none,,,unknown,,,,,,,,,,,,,,,8.826772285384484,22.0,1.0,0.2895756666680041,0.0,0.0,15310.139702359547,36602.963253818394,1.594438,1.558394,2.0,3.0,0.543938,0.652966
XLK,SHORT,0.48670709367932374,4.867070936793238,0,2.9202,error: No OHLCV data returned for ticker=XLK,none,none,,,unknown,,,,,,,,,,,,,,,262.0478245192771,11.0,1.0,0.14432661306956515,0.0,0.0,15999.45400553593,63346.218355542245,0.322683,1.623209,1.0,4.0,0.4421,0.184933
STX,SHORT,0.48326203906494664,4.832620390649466,0,2.8996,error: No OHLCV data returned for ticker=STX,none,none,,,unknown,,,,,,,,,,,,,,,75.79309779697422,4.0,1.0,0.0,0.0,0.0,0.0,81034.77515893184,,4.063836,0.0,0.0,0.0,0.006869
PDD,SHORT,0.4297350128767011,4.297350128767011,0,2.5784,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,5.597306705074427,15.0,1.0,0.4219710180559779,0.0,0.0,4962.395397294049,13440.04394331785,1.553771,1.408632,2.0,5.0,0.464464,0.275178
FAS,SHORT,0.42362864285714286,4.236286428571429,0,2.5418,error: No OHLCV data returned for ticker=FAS,none,none,,,unknown,,,,,,,,,,,,,,,116.08705817111372,4.0,1.0,0.0,0.0,0.0,0.0,1189.2950192161202,,52.791667,0.0,2.0,0.0,0.500801
IWM,SHORT,0.41182362056303523,4.118236205630352,0,2.4709,error: No OHLCV data returned for ticker=IWM,none,none,,,unknown,,,,,,,,,,,,,,,0.4508291558502639,19.0,1.0,0.31598814314449675,0.0,0.0,105062.41996776484,457171.67112063704,0.104009,0.135264,3.0,4.0,0.747562,0.785361
ONON,SHORT,0.4115069323064584,4.115069323064584,0,2.469,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,2.9241423942509748,6.0,1.0,10.944991146274306,0.0,0.0,64770.407010937284,29589.063227787647,714.603357,3.291339,1.0,1.0,0.396962,0.0
INTC,SHORT,0.40758995087016336,4.075899508701633,0,2.4455,error: No OHLCV data returned for ticker=INTC,none,none,,,unknown,,,,,,,,,,,,,,,15.458938456194817,13.0,1.0,1.3689934142419158,0.0,0.0,69896.07920573305,22691.79951361505,0.478561,0.110357,0.0,2.0,0.514851,0.581898
DELL,SHORT,0.40705292857142855,4.070529285714286,0,2.4423,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,68.49179539911174,23.0,1.0,99.0,0.0,0.0,96259.5907307294,2911.156366280127,9.811602,8.185694,6.0,0.0,0.539546,0.618741
UPRO,SHORT,0.39575185714285716,3.9575185714285714,0,2.3745,error: No OHLCV data returned for ticker=UPRO,none,none,,,unknown,,,,,,,,,,,,,,,1038.6843419659995,6.0,1.0,0.0006089758311279893,0.0,0.0,5.954788576147525,4889.183011678503,72.9,20.05822,1.0,2.0,0.45372,0.110526
NVDA,SHORT,0.39257782446203543,3.9257782446203544,0,2.3555,weak_bearish_flow,none,none,,,unknown,,,,,,,,,,,,,,,1.4597465467467672,12.0,1.0,0.6293197709813458,0.0,0.0,206863.8875451779,164355.14748138248,0.095628,0.09457,0.0,0.0,0.572789,0.715591
