snapshot_date,ticker,total_notional,total_volume,print_count,large_print_count,buy_volume,sell_volume,bias,largest_print_notional,marketcap,sector
2026-04-21,QCOM,229414.02,1686,1,0,1686,0,1.0,229414.02,0.0,—
2026-04-21,SOXL,227850.0,2100,2,0,0,926,0.0,127379.0,0.0,—
2026-04-21,T,226805.4,8730,1,0,0,0,0.0,226805.4,181909998568.0,Communication Services
2026-04-21,COST,220814.0,220,1,0,220,0,1.0,220814.0,0.0,—
2026-04-21,ASML,219436.32,152,1,0,152,0,1.0,219436.32,0.0,—
2026-04-21,TSLL,216232.05,15635,1,0,0,0,0.0,216232.05,0.0,—
2026-04-21,ARM,215440.72,1096,1,0,0,1096,0.0,215440.72,0.0,—
2026-04-21,GROY,212116.8,59920,1,0,59920,0,1.0,212116.8,0.0,—
2026-04-21,ACN,200175.3,1053,1,0,0,0,0.0,200175.3,0.0,—
2026-04-21,JNJ,191506.7,847,1,0,847,0,1.0,191506.7,0.0,—
2026-04-21,NOK,184589.06,18721,1,0,0,0,0.0,184589.06,0.0,—
2026-04-21,RGTI,183836.76,10002,1,0,0,0,0.0,183836.76,0.0,—
2026-04-21,ETN,171342.18,414,1,0,0,0,0.0,171342.18,0.0,—
2026-04-21,ROK,168506.28,414,1,0,0,0,0.0,168506.28,0.0,—
2026-04-21,SOXS,168011.57,10276,1,0,0,0,0.0,168011.57,0.0,—
2026-04-21,VST,163579.5,1050,1,0,0,0,0.0,163579.5,0.0,—
2026-04-21,EVR,160868.57,457,1,0,0,0,0.0,160868.57,0.0,—
2026-04-21,APP,145596.71,301,1,0,0,0,0.0,145596.71,0.0,—
2026-04-21,TER,145212.86,377,1,0,0,377,0.0,145212.86,0.0,—
2026-04-21,GLW,144289.8,855,1,0,855,0,1.0,144289.8,0.0,—
2026-04-21,ANET,142361.73,801,1,0,0,0,0.0,142361.73,0.0,—
2026-04-21,AMD,138984.68,458,1,0,0,458,0.0,138984.68,0.0,—
2026-04-21,BLMN,137760.0,21000,1,0,0,0,0.0,137760.0,0.0,—
2026-04-21,SQQQ,136218.5,2500,1,0,0,0,0.0,136218.5,0.0,—
2026-04-21,KEYS,131181.39,387,1,0,0,0,0.0,131181.39,0.0,—
2026-04-21,ESLT,130867.44,152,1,0,0,0,0.0,130867.44,0.0,—
2026-04-21,BLK,130683.81,123,1,0,0,0,0.0,130683.81,0.0,—
2026-04-21,BSX,130194.09,2007,1,0,0,0,0.0,130194.09,0.0,—
2026-04-21,RKT,127960.98,8358,1,0,0,0,0.0,127960.98,0.0,—
2026-04-21,PAVE,127019.52,2304,1,0,0,0,0.0,127019.52,0.0,—
2026-04-21,KBWB,125379.22,1438,1,0,0,0,0.0,125379.22,0.0,—
2026-04-21,AMAT,121500.0,300,1,0,0,0,0.0,121500.0,0.0,—
2026-04-21,TQQQ,120960.0,2000,1,0,0,0,0.0,120960.0,0.0,—
2026-04-21,ACHR,108249.78,17863,1,0,0,0,0.0,108249.78,0.0,—
2026-04-21,UPS,105290.1,1000,1,0,0,0,0.0,105290.1,0.0,—
2026-04-21,SH,104280.0,3000,1,0,3000,0,1.0,104280.0,0.0,—
2026-04-22,QQQ,3888318.55,5978,15,1,640,498,0.1071,1280716.56,0.0,—
2026-04-22,XLI,3741949.48,21534,4,1,1100,0,0.0511,3249499.0,0.0,—
2026-04-22,TLT,2983718.05,34490,5,1,32120,0,0.9313,1799408.0,0.0,—
2026-04-22,MU,2605607.0,5480,11,0,900,737,0.1642,805283.91,0.0,—
2026-04-22,IWM,2368388.84,8615,5,1,2549,5066,0.2959,1392694.06,0.0,—
2026-04-22,AMD,2026423.64,6663,14,0,2650,2113,0.3977,273663.0,0.0,—
2026-04-22,ORCL,1879295.52,10648,2,1,9648,1000,0.9061,1702775.52,0.0,—
2026-04-22,PLTR,1790192.12,12617,7,1,800,9267,0.0634,1092553.0,0.0,—
2026-04-22,BABA,1552075.47,11847,4,0,0,11847,0.0,681252.0,0.0,—
2026-04-22,SOXL,1372138.99,12507,9,0,0,3060,0.0,226064.4,0.0,—
2026-04-22,TQQQ,1355842.4,23000,3,0,0,0,0.0,589499.0,0.0,—
2026-04-22,MSFT,1350566.11,3254,5,0,0,278,0.0,830080.0,0.0,—
2026-04-22,MA,1328736.5,2639,2,0,0,0,0.0,966720.0,0.0,—
2026-04-22,SPY,1328476.65,1877,5,0,1289,333,0.6867,416888.31,0.0,—
2026-04-22,TSLA,1236760.83,3312,4,0,780,1122,0.2355,418943.58,0.0,—
2026-04-22,ESGV,1199804.97,9679,1,1,0,0,0.0,1199804.97,0.0,—
2026-04-22,TXN,1176148.51,4255,5,0,0,0,0.0,552750.0,250928713503.0,Technology
2026-04-22,VOO,969507.85,1490,3,0,0,0,0.0,715737.0,0.0,—
2026-04-22,TSLL,825594.22,68800,4,0,21000,0,0.3052,252000.0,0.0,—
2026-04-22,INTC,798082.06,11943,4,0,3600,0,0.3014,296838.16,0.0,—
2026-04-22,MSCI,771803.0,1300,5,0,0,0,0.0,178134.0,0.0,—
2026-04-22,AZO,557894.29,155,5,0,31,62,0.2,111615.5,0.0,—
2026-04-22,MINT,554132.34,5508,2,0,0,0,0.0,304229.52,0.0,—
2026-04-22,NVDA,496682.92,2500,3,0,1000,0,0.4,198670.0,0.0,—
2026-04-22,STX,488327.6,830,2,0,0,830,0.0,370641.6,0.0,—
2026-04-22,SNDK,475070.78,507,3,0,200,0,0.3945,187390.0,0.0,—
2026-04-22,FCX,420377.99,6777,1,0,0,6777,0.0,420377.99,89253812737.0,Basic Materials
2026-04-22,APD,415971.41,1371,1,0,0,1371,0.0,415971.41,0.0,—
2026-04-22,ARM,386612.0,1900,1,0,0,0,0.0,386612.0,0.0,—
2026-04-22,CEG,384502.8,1320,1,0,1320,0,1.0,384502.8,0.0,—
2026-04-22,PLTD,373252.9,49049,2,0,15749,0,0.3211,253403.01,0.0,—
2026-04-22,NOC,353754.0,600,2,0,0,0,0.0,235836.0,0.0,—
2026-04-22,XEL,336695.62,4250,1,0,0,0,0.0,336695.62,0.0,—
2026-04-22,NOW,333166.58,3903,2,0,0,2603,0.0,222192.08,87928835000.0,Technology
2026-04-22,NFLX,307932.61,3304,2,0,1414,0,0.428,176147.81,0.0,—
2026-04-22,IVV,303618.55,427,2,0,0,0,0.0,166386.87,0.0,—
2026-04-22,META,276220.36,420,2,0,0,240,0.0,157824.38,0.0,—
2026-04-22,STRC,258884.73,2600,2,0,0,0,0.0,129442.43,0.0,—
2026-04-22,AAPL,246894.95,900,2,0,400,500,0.4444,137174.95,0.0,—
2026-04-22,KWEB,244983.58,8635,1,0,0,0,0.0,244983.58,0.0,—
2026-04-22,AVLV,240603.86,2800,2,0,1400,0,0.5,120302.0,0.0,—
2026-04-22,MYRG,235750.0,700,2,0,0,0,0.0,134680.0,0.0,—
2026-04-22,CAR,224135.0,1000,1,0,0,0,0.0,224135.0,7825305225.0,Industrials
2026-04-22,PTRB,216491.66,5178,1,0,0,0,0.0,216491.66,0.0,—
